/* CONJUNTOS */
set NF:= 39 ;

set ENTR:= BETARRAGA_CON_CEBOLLA_Y_ZANAHORIA REPOLLO_MORADO_CON_PIMENTON CHILENA APIO_CON_PALTA ARVEJA_CON_CEBOLLA REPOLLO_CON_ACEITUNA 
LECHUGA_CON_HABAS CREMA_DE_VERDURAS TOMATE_CON_CILANTRO CONSOME_DE_VACUNO MIX_DE_REPOLLO LECHUGA_CON_ZANAHORIA_Y_PALMITO 
LECHUGA_CON_CHOCLO BETARRAGA_CON_CILANTRO ESPINACA_CON_ZANAHORIA TOMATE_CON_POROTO_VERDE BROCOLI_CON_COLIFLOR LECHUGA_CON_ESPINACA 
CONSOME_DE_AVE TOMATE_CON_PEPINO LECHUGA_CON_ZANAHORIAS APIO_CON_ACEITUNAS LECHUGA_CON_ENSALADA_PRIMAVERA BETARRAGA_CON_ZANAHORIA 
POROTOS_VERDES_CON_CHOCLO LECHUGA_CON_MIX_DE_PIMENTON APIO_ESPINACA_Y_ACEITUNA LECHUGA_CON_CHAMPINON EMPANADA_DE_PINO BETARRAGAS_CON_CEBOLLLA  ;

set PRIN:= PAVO_ASADO_CON_ESPINACA_A_LA_CREMA ESTOFADO_DE_VACUNO_CON_ARROZ CHARQUICAN POLLO_ARVERJADO_CON_QUINOA CARNE_AL_JUGO_CON_FIDEOS 
CAZUELA_DE_AVE CHAPSUI_DE_VACUNO_CON_ARROZ POROTOS_CON_RIENDAS BUDIN_DE_VERDURAS_CON_PAPAS_COCIDAS FIDEOS_CON_SALSA_DE_MARISCO GARBANZOS_GUISADOS 
CARBONADA CERDO_AL_JUGO_CON_QUINOA STROGONOFF_CON_ARROZ PESCADO_AL_HORNO_CON_PURE LENTEJAS_GUISADAS POLLO_ARVERJADO_CON_PURE POLLO_AL_JUGO_CON_ARROZ 
ARROZ_A_LA_VALENCIANA PANTRUCAS AJIACO POLLO_ARVEJADO_CON_ARROZ LOMO_CON_PASTELERA_DE_CHOCLO CARNE_ASADA_CON_ESPINACA_A_LA_CREMA 
COSTILLAR_AL_HORNO_CON_SALPICON_DE_VERDURAS ESTOFADO_DE_POLLO_CON_ARROZ CAZUELA_DE_VACUNO PASTEL_DE_CHOCLO PARILLADA_CON_ENSALADA_A_LA_CHILENA 
PASTEL_DE_PAPA POROTOS_CON_MAZAMORRA CALDILLO_DE_MARISCO CARNE_AL_CILANTRO_CON_PANACHE_DE_VERDURAS HUMITAS_X2 POLLO_ASADO_CON_ARROZ 
PESCADO_AL_HORNO_CON_QUINOA_A_LA_PRIMAVERA FIDEOS_CON_SALSA_A_LA_PRIMAVERA CHULETAS_AL_JUGO_CON_PAPAS_GRATINADAS POLLO_AL_JUGO_CON_ARROZ_PRIMAVERA ;

set PSTR:= MANZANA SEMOLA_CON_LECHE NARANJA JALEA_CON_FRUTA PERA PINA BRAZO_DE_REINA LECHE_ASADA BAVAROIS FLAN_DE_CHOCOLATE QUEQUE_DE_ZANAHORIA 
FLAN_DE_VAINILLA FLAN_DE_CARAMELO MOUSSE_DE_FRAMBUESA JALEA_DE_PINA MOTE_CON_HUESILLO JALEA_MARMOL PLATANOS_FRITOS_A_LO_MACHO_CON_CREMA 
JALEAS_TRICOLOR CALABAZA_EN_TACHA DURAZNO FRUTILLA DAMASCO GUINDA_CEREZA KIWI MANDARINA PAPAYA PLATANO MANGO FRAMBUESA HIGO ;

set MM:= PAVO_ASADO_CON_ESPINACA_A_LA_CREMA ESTOFADO_DE_VACUNO_CON_ARROZ CHARQUICAN POLLO_ARVERJADO_CON_QUINOA CARNE_AL_JUGO_CON_FIDEOS CAZUELA_DE_AVE 
CHAPSUI_DE_VACUNO_CON_ARROZ FIDEOS_CON_SALSA_DE_MARISCO CERDO_AL_JUGO_CON_QUINOA PESCADO_AL_HORNO_CON_PURE 
POLLO_ARVERJADO_CON_PURE POLLO_AL_JUGO_CON_ARROZ POLLO_ARVEJADO_CON_ARROZ LOMO_CON_PASTELERA_DE_CHOCLO 
CARNE_ASADA_CON_ESPINACA_A_LA_CREMA COSTILLAR_AL_HORNO_CON_SALPICON_DE_VERDURAS ESTOFADO_DE_POLLO_CON_ARROZ CAZUELA_DE_VACUNO 
PARILLADA_CON_ENSALADA_A_LA_CHILENA CALDILLO_DE_MARISCO CARNE_AL_CILANTRO_CON_PANACHE_DE_VERDURAS HUMITAS_X2 POLLO_ASADO_CON_ARROZ 
PESCADO_AL_HORNO_CON_QUINOA_A_LA_PRIMAVERA CHULETAS_AL_JUGO_CON_PAPAS_GRATINADAS POLLO_AL_JUGO_CON_ARROZ_PRIMAVERA  ;

set ML:= POROTOS_CON_RIENDAS BUDIN_DE_VERDURAS_CON_PAPAS_COCIDAS GARBANZOS_GUISADOS CARBONADA STROGONOFF_CON_ARROZ LENTEJAS_GUISADAS 
ARROZ_A_LA_VALENCIANA PANTRUCAS AJIACO PASTEL_DE_CHOCLO PASTEL_DE_PAPA POROTOS_CON_MAZAMORRA FIDEOS_CON_SALSA_A_LA_PRIMAVERA ;

set DIAS:= JUN3 JUN4 JUN5 JUN6 JUN7 JUN10 JUN11 JUN12 JUN13 JUN14 JUN17 JUN18 JUN19 JUN20 JUN21 JUN24 JUN25 JUN26 JUN27 JUN28;

set NUTR:= CALORIAS PROTEINA LIPIDOS GRASA_SATURADA CARBOS FIBRA COLESTEROL SODIO ;

/* PARAMETROS */


param u_na:=
BETARRAGA_CON_CEBOLLA_Y_ZANAHORIA                       	 78	  3.580     3.28	0.50	11.33	4.76	0.00	298.40
REPOLLO_MORADO_CON_PIMENTON                             	 70	  1.920     3.28	0.47	9.610	4.25	0.00	27.300
CHILENA                                                 	 63	  1.420     3.39	0.55	7.760	1.51	0.00	13.600
APIO_CON_PALTA                                          	172	  6.330     7.47	1.25	23.66	9.40	0.00	376.56
ARVEJA_CON_CEBOLLA                                      	172	  6.330     7.47	1.25	23.66	9.40	0.00	376.56
REPOLLO_CON_ACEITUNA                                    	172	  6.330     7.47	1.25	23.66	9.40	0.00	376.56
LECHUGA_CON_HABAS                                       	 95	  5.440     3.51	0.54	11.47	2.84	0.00	10.100
CREMA_DE_VERDURAS                                       	103	  5.320     5.57	2.06	8.400	1.49	4.50	79.150
TOMATE_CON_CILANTRO                                     	 59	  1.300     3.37	0.53	6.900	1.35	0.00	13.300
CONSOME_DE_VACUNO                                       	 67	  2.140     4.05	0.96	5.250	0.50	42.5	20.550
MIX_DE_REPOLLO 	                                        	 66	  1.840     3.26	0.50	8.970	4.04	0.00	27.100
LECHUGA_CON_ZANAHORIA_Y_PALMITO                         	 61	  2.440     3.36	0.49	6.780	3.62	0.00	56.200
LECHUGA_CON_CHOCLO 	                                    	 66	  2.570     3.44	0.52	7.740	3.51	0.00	10.300
BETARRAGA_CON_CILANTRO                                  	 62	  3.160     3.20	0.48	7.470	3.64	0.00	389.10
ESPINACA_CON_ZANAHORIA                                  	 50	  2.040     3.20	0.46	4.970	2.68	0.00	53.600
TOMATE_CON_POROTO_VERDE                                 	102	  2.630     5.07	0.68	12.43	3.17	0.00	115.40
BROCOLI_CON_COLIFLOR                                    	 60	  2.980     3.28	0.50	7.030	2.56	0.00	110.50
LECHUGA_CON_ESPINACA                                    	 56	  2.890     3.38	0.50	5.370	3.74	0.00	131.35
CONSOME_DE_AVE                                          	 67	  2.140     4.05	0.96	5.250	0.50	42.5	20.550
TOMATE_CON_PEPINO 	                                    	 84	  1.540     3.39	0.53	8.970	1.79	0.00	114.20
LECHUGA_CON_ZANAHORIAS                                  	 76	  2.190     3.30	0.49	6.320	3.38	0.00	113.60
APIO_CON_ACEITUNAS                                      	 58	  1.110     4.37	0.79	5.410	2.29	0.00	396.50
LECHUGA_CON_ENSALADA_PRIMAVERA                          	 65	  2.270     3.29	0.49	5.360	2.74	0.00	107.60
BETARRAGA_CON_ZANAHORIA                                 	 74	  3.460     3.26	0.48	10.47	4.60	0.00	398.10
POROTOS_VERDES_CON_CHOCLO                               	 87	  2.530     3.53	0.54	13.24	8.54	0.00	107.60
LECHUGA_CON_MIX_DE_PIMENTON                             	 62	  2.230     3.32	0.49	6.240	3.22	0.00	108.20
APIO_ESPINACA_Y_ACEITUNA    	                        	 64	  2.010     4.49	0.80	6.460	3.29	0.00	420.25
LECHUGA_CON_CHAMPINON                                   	 58	  2.650     3.42	0.49	5.860	3.40	0.00	108.20
EMPANADA_DE_PINO                                        	298	  10.00     16.0	2.00	27.00	0.00	0.00	543.00
BETARRAGAS_CON_CEBOLLLA                                 	 74	  3.480     3.26	0.50	10.33	4.44	0.00	395.40
PAVO_ASADO_CON_ESPINACA_A_LA_CREMA                        	555	    36.85	16.97	4.62000   12.51    2.340	141.080   224.64
ESTOFADO_DE_VACUNO_CON_ARROZ                              	590	    33.05	7.650	2.04000   72.00    1.240	0.00000   74.600
CHARQUICAN                                                	499	    38.70	14.21	3.15000   41.05    3.260	0.17000   329.35
POLLO_ARVERJADO_CON_QUINOA                                	490	    41.18	19.60	2.86000   40.50    2.560	141.000   333.77
CARNE_AL_JUGO_CON_FIDEOS                                  	574	    37.65	14.46	3.20000   50.85    2.750	0.17000   357.85
CAZUELA_DE_AVE                                            	470	    38.25	16.04	2.87000   36.19    1.420	141.000   111.20
CHAPSUI_DE_VACUNO_CON_ARROZ                               	529	    30.47	13.26	2.67000   65.82    2.010	0.00000   175.85
POROTOS_CON_RIENDAS                                       	534	    23.79	13.03	1.24000   78.94    18.27	0.00000   122.45
BUDIN_DE_VERDURAS_CON_PAPAS_COCIDAS                       	320	    10.18	15.51	4.35000   32.95    5.740	106.300   212.35
FIDEOS_CON_SALSA_DE_MARISCO                               	520	    44.65	10.99	2.53000   58.34    2.830	264.680   384.26
GARBANZOS_GUISADOS                                        	464	    15.93	15.70	1.37000   57.85    17.14	0.00000   110.20
CARBONADA                                                 	386	    25.06	13.30	2.60000   38.39    3.240	0.00000   279.70
CERDO_AL_JUGO_CON_QUINOA                                  	410	    34.75	9.130	2.66000   42.83    5.540	111.000   346.00
STROGONOFF_CON_ARROZ                                      	445	    27.35	20.39	6.69000   37.35    2.730	15.4500   373.92
PESCADO_AL_HORNO_CON_PURE                                 	494	    44.25	15.32	3.85000   48.69    1.930	216.900   520.20
LENTEJAS_GUISADAS                                         	285	    8.890	10.54	1.22000   31.19    6.380	0.00000   207.05
POLLO_ARVERJADO_CON_PURE                                  	452	    37.35	16.08	2.93000   38.27    1.170	141.000   205.12
POLLO_AL_JUGO_CON_ARROZ                                   	355	    37.58	6.300	1.86000   41.90    1.560	141.000   235.75
ARROZ_A_LA_VALENCIANA                                     	406	    26.78	15.11	5.16000   55.40    1.330	82.9000   670.37
PANTRUCAS                                                 	320	    37.38	5.640	2.78000   32.57    1.360	63.9700   252.15
